identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,gene_name,symbol
ITIH2~P19823,-0.5365588067425975,20.193081071296227,-3.270760515466856,0.002583967042007932,0.015089844524959047,-1.972738683478969,ITIH2,ITIH2
CALU~O43852,0.8739113972566646,12.445788843609181,3.268958353915585,0.0025962714771827346,0.015089844524959047,-1.9771843864369432,CALU,CALU
LPA~P08519,-1.6722591071482071,14.810216807126151,-3.2653285541768646,0.0026212247625798913,0.015124488616272209,-1.9861350283197385,LPA,LPA
GSN~P06396,-0.45741418817707924,20.657166895473587,-3.263515525812915,0.002633774347150635,0.015124488616272209,-1.9906039239646516,GSN,GSN
SOD2~F5GXZ9,0.9491306042766503,11.693011872477296,3.2587447113718198,0.0026670727461147186,0.015224540259071518,-2.002357629332856,SOD2,SOD2
HSPD1~A0A7I2V2X6,4.606979918921371,8.038932472635771,3.254725383875505,0.0026954383722155814,0.015295416561862382,-2.0122534091464237,HSPD1,HSPD1
PROS1~A0A0S2Z4L3,-0.4556552380733301,17.81247609852663,-3.2434477562814736,0.0027765773462599358,0.015663162794489875,-2.0399875484651995,PROS1,PROS1
RPL8~E9PKZ0,3.5296564533024135,8.695777481183812,3.23650472331895,0.00282768647479155,0.0158581949083339,-2.0570384516186735,RPL8,RPL8
MYH11~P35749,0.401424890389384,14.168700640419358,3.2312039566078052,0.002867310749383271,0.015986924468945098,-2.070044099666826,MYH11,MYH11
MYO1D~J3QRN6,0.7086803565848161,12.661579882216996,3.2236347401026104,0.002924813251932486,0.016213271147995686,-2.0885971989814287,MYO1D,MYO1D
ARPC1B~O15143,2.4130901944854806,10.512022239466553,3.2176620610927675,0.0029709631877859314,0.01637444653498108,-2.1032217439274046,ARPC1B,ARPC1B
